5 Rupee,,,,,,,,,,,,,,
,24 hour breakdown of Monthly Consumption table,,,,,,,,,,,,,
,,Real Load (kW),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,Real Load (kW),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,0,0.641,0.626,0.664,1.176,1.585,1.481,0.87,0.82,0.79,0.673,0.852,0.721
,,1,0.641,0.626,0.664,1.176,1.585,1.481,0.87,0.82,0.79,0.673,0.852,0.721
,,2,0.641,0.626,0.664,1.176,1.585,1.481,0.87,0.82,0.79,0.673,0.852,0.721
,,3,0.641,0.626,0.664,1.176,1.585,1.481,0.87,0.82,0.79,0.673,0.852,0.721
,,4,0.641,0.626,0.664,1.176,1.585,1.481,0.87,0.82,0.79,0.673,0.852,0.721
,,5,0.283,0.277,0.294,0.52,0.7,0.655,0.385,0.362,0.349,0.298,0.377,0.319
,,6,0.162,0.158,0.168,0.297,0.4,0.374,0.22,0.207,0.2,0.17,0.215,0.182
,,7,0.162,0.158,0.168,0.297,0.4,0.374,0.22,0.207,0.2,0.17,0.215,0.182
,,8,0.162,0.158,0.168,0.297,0.4,0.374,0.22,0.207,0.2,0.17,0.215,0.182
,,9,0.162,0.158,0.168,0.297,0.4,0.374,0.22,0.207,0.2,0.17,0.215,0.182
,,10,1.083,1.057,1.121,1.986,2.676,2.501,1.469,1.384,1.334,1.137,1.438,1.218
,,11,0.289,0.282,0.299,0.529,0.713,0.667,0.392,0.369,0.356,0.303,0.383,0.325
,,12,0.422,0.412,0.437,0.775,1.044,0.976,0.573,0.54,0.521,0.443,0.561,0.475
,,13,0.351,0.343,0.364,0.644,0.868,0.811,0.477,0.449,0.433,0.369,0.466,0.395
,,14,0.209,0.204,0.216,0.383,0.516,0.483,0.284,0.267,0.258,0.219,0.278,0.235
,,15,0.194,0.189,0.201,0.355,0.478,0.447,0.263,0.248,0.239,0.203,0.257,0.218
,,16,0.226,0.221,0.234,0.414,0.558,0.522,0.307,0.289,0.278,0.237,0.3,0.254
,,17,0.215,0.21,0.222,0.394,0.531,0.496,0.291,0.275,0.265,0.226,0.285,0.242
,,18,0.18,0.176,0.186,0.33,0.445,0.416,0.244,0.23,0.222,0.189,0.239,0.202
,,19,0.221,0.216,0.229,0.405,0.546,0.51,0.3,0.282,0.272,0.232,0.293,0.248
,,20,0.184,0.179,0.19,0.337,0.454,0.424,0.249,0.235,0.226,0.193,0.244,0.207
,,21,0.162,0.158,0.168,0.297,0.4,0.374,0.22,0.207,0.2,0.17,0.215,0.182
,,22,0.52,0.508,0.538,0.953,1.285,1.201,0.705,0.665,0.641,0.546,0.691,0.585
,,23,0.641,0.626,0.664,1.176,1.585,1.481,0.87,0.82,0.79,0.673,0.852,0.721
33 Guilder,,,,,,,,,,,,,,
,24 hour breakdown of Monthly Consumption table,,,,,,,,,,,,,
,,Real Load (kW),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,0,1.466,1.623,1.466,1.818,2.345,1.969,1.466,1.381,1.431,1.466,1.666,1.267
,,1,1.466,1.623,1.466,1.818,2.345,1.969,1.466,1.381,1.431,1.466,1.666,1.267
,,2,1.458,1.614,1.458,1.808,2.332,1.958,1.458,1.373,1.423,1.458,1.657,1.259
,,3,1.458,1.614,1.458,1.808,2.332,1.958,1.458,1.373,1.423,1.458,1.657,1.259
,,4,1.037,1.149,1.037,1.286,1.66,1.394,1.037,0.977,1.013,1.037,1.179,0.896
,,5,0.82,0.908,0.82,1.017,1.312,1.102,0.82,0.773,0.801,0.82,0.932,0.709
,,6,0.603,0.667,0.603,0.747,0.964,0.81,0.603,0.568,0.589,0.603,0.685,0.521
,,7,1.28,1.417,1.28,1.587,2.048,1.72,1.28,1.206,1.25,1.28,1.455,1.106
,,8,0.883,0.978,0.883,1.095,1.413,1.186,0.883,0.832,0.862,0.883,1.004,0.763
,,9,0.933,1.033,0.933,1.156,1.492,1.253,0.933,0.879,0.911,0.933,1.06,0.806
